ruwana wichqay	cerrar sesión		2_76365
yupay nkikillan allichakuq	Autocorrección matemática		4112_184023
wakin wakinmanta paqarichiy	bloque de creación		4113_237389
qawana	pantalla		4171_46940
kawsachiy	activar		4188_136987
llapan serial bus	bus serie universal		4190_125903
USB	USB		4190_125904
Vidiu yaykuchiy	Importar video		4191_262696
uchuycha riqsichiq	especificación de bits		4196_213534
tatichipuyninpa modon	modo de suspensión		4197_312080
Suyana pacha	suspensión		4197_113668
llankay puririna	flujo de trabajo		4205_252678
imakuna yachanapaq	caché		4210_26033
llankanapaq qelqakuna	lista de tareas		4216_119972
kaq masin	sinónimo		4221_118391
Iskayman pallqa	bidireccional		4239_21066
Iskayman pallqa	bidireccional		4239_211438
TCP	TCP		4240_152005
Imayna riq patachaq qawaqpa	Protocolo de control de transmisión		4240_152004
chayanapa kipun	archivo de destino		4256_140753
Waqaychana	Registro		4265_101189
riqsichikuy	identidad		4269_63750
q'illiy	no participar		4281_88221
chantikuy	conectar(se)		4288_346910
WOA	WOA		4296_309440
Windows nisqamanta siqipi yanapakuynin	Asistencia en línea de Windows		4296_309439
opening chevron	comilla angular de apertura		4297_317462
chiqan siqi k’askachiq	conector recto		4308_116719
wakin tiyana	elemento raíz		4314_148023
LBA	LBA		4315_211449
bloque logico nisqapa riyninkuna	direcciones de bloque lógico		4315_211448
DCE	DCE		4323_338560
Ima willakuykuna llankaq	Equipo de comunicaciones de datos		4323_338552
kasqampa sutin	nombre de campo		4332_141858
llapan	global		4349_58489
streaming multimediamanta	streaming de multimedia		4353_2227182
utqay rinapa tinkuynin	conexión de banda ancha		4362_153205
kamachiy	resolución		4367_103601
quy	transferir		4369_122951
kutichimuy	recuperar		4408_99874
ñawinchanallapaq yuyaynin	memoria de solo lectura		4411_99035
ROM	ROM		4411_99036
t'aqayninpa k'utmun	barra de división		4417_115511
pantay	Error		4419_315149
pachayuq/mana pachayuq	disponibilidad		4425_232401
qawaq hukmanyachiy	modificador del explorador		4427_297178
lluskharik chharqunasqa tawak'uchu	cuadro combinado desplegable		4441_48513
k'anchaq pusaq	patrón de diapositivas		4459_148656
Chawpi ruru	kernel		4462_72367
Churana imayna kasqan	tipo de archivo		4470_54362
Karumanta Hanpara	Escritorio remoto		4481_543804
Wilakuy qelqasqa	guión gráfico		4482_151787
Imayna ruwanakuna	formulario		4483_55751
chaska hina	asterisco		4487_15671
Kunallan intiwatana	Instantánea del calendario		4489_298007
wakin yachaykunapaq bloc	bloc de notas		4496_299910
chiqanchaqkunap sapin	certificado raíz		4506_105871
runa simillapi maskay	búsqueda en lenguage natural		4512_145048
rimasqahina maskay	sintaxis de consulta en lenguaje natural		4512_318314
jatun rikuchiynin	difusión de presentaciones		4523_146682
kawsachiy	animar		4531_168151
willaqkuna taqinpa tinkuynin	conexión de base de datos		4544_140325
sananpakunaq rikch'aymnin	estilo de carácter		4548_30603
rantiy tukuna	finalización de la compra		4565_31042
sistemamanta menu	menú de sistema		4566_118880
huñu Chuya haykuna imakunata ruwanapaq	panel Accesos directos		4567_232422
mayman risqan	línea de tendencia		4582_123594
kaynin tiyana	estilo base		4587_137765
rimay	charlar		4592_30836
rurasqaña rikuriq	imágenes prediseñadas		4598_32623
winasqapa tablan	TDC		4614_3494
TOC	TDC		4614_3495
mana tinkisqa yanapakuy	Ayuda sin conexión		4616_316641
riqsichiy	demostración		4624_44420
Kikillan rikchakuqkuna	Autoformas		4631_158674
suchuririy	desplazar		4639_108282
Kamachina qata	Panel de control		4645_39469
mana munasqa software	software no deseado		4652_236971
ñitina aqllanapaq	botón de opción		4658_88358
ñitina radio hapichiq	botón de radio		4658_88359
baudios osqaylla	velocidad en baudios		4660_20603
Mana alambreyuq	inalámbrico		4664_133944
qawaykachay	navegar		4670_83613
mana tinkisqa	desconectado		4671_87049
vCard	vCard		4674_269343
fotokuna churana	álbum de fotos		4677_308335
rikchakuy	impresión		4678_1486284
CA	CA		4679_25817
chiqaqyachiq wasi	entidad de certificación		4679_25819
tiqukuq	Autodiseño		4682_232514
mana llamkaq	inactivo		4683_65112
manaraq tukusqa	pendiente		4688_345315
MD5	MD5		4692_262436
mirachiypa pampan	área de copia		4697_39890
datukunaq rihurimuynin	origen de datos		4707_342533
harkaqnin	marco		4732_56742
Chintiy	contraer		4733_34105
Web yanapakuy	servicio web		4737_4443
URI	identificador URI		4748_136201
Uniform Resource Identifier	Identificador uniforme de recursos		4748_136200
qawanapaq kikllu	galería		4758_317877
cadena	cadena		4761_116861
taqruy	combinación		4767_71491
t’inkichasqa tawak'uchu	gráfico combinado		4768_35225
pi ruwaq	autor		4772_17201
llankaq	operador		4779_88121
harkay	proteger		4780_95575
Yanapakuy	servicio		4782_111150
mana tupaq	contraste		4789_39249
rakikuq huñu	grupo de distribución		4792_237218
chiqirichiypa qelqan	lista de distribución		4792_47183
ñawpaq hunt'achisqa tarjeta	tarjeta prepaga		4810_169828
kuska waqaychana	carpeta compartida		4820_111957
SIM tarjeta	tarjeta SIM		4821_339968
chaqnaq	operador		4827_28125
apaykachana qukuq	operador celular		4827_780464
Kuyukuq	AutoMovie		4834_262472
Patachay	control		4835_39274
chaylla yaykuna	acceso directo		4843_112339
chimpuq	marcador		4846_22733
Ruwykuqkuna qawapayaqnin	controlador de eventos		4903_162625
rapipa pampan	campo de página		4907_231968
pata	borde		4908_23140
PivotChart ñiqin qatipakuna	campo de categoría de gráfico dinámico		4911_146316
suyachkan	modo de espera		4914_116089
kikillanmanta qillqaq	Autotexto		4918_234579
Utqhaq Mask'ana	Búsqueda instantánea		4919_494240
Maskay	Búsqueda		4919_207658
Osqayta maskay	Búsqueda rápida		4919_207657
Kallpachakuypa akllakuyninkuna	Opciones de energía		4921_236970
ch'aqwaq usqhaynin	velocidad de turbulencia		4925_307374
samariy	pausar		4932_91151
seqemanta paway	salto de línea		4941_74969
kuskachay	acoplar		4960_179395
rimay seqepi pantay	error de sintaxis		4961_118452
churay	instalar		4963_67684
Outlook Tarichiynin P'anqa	Libreta de direcciones de Outlook		4964_232406
tinkunapaq siqikuna	líneas de unión		4973_141204
PC	PC		4986_37166
Tukuy ima akllana	menú contextual		5002_38906
tiyaynin yuch’uy simipi	menú contextual		5002_38907
contextual ñisqa tiyaynin	menú contextual		5002_545694
akllakunapaq rikurimuq	menú emergente		5002_38908
paypa tawak'uchun rimariynin	cuadro de diálogo personalizado		5008_139790
saqiy	abandonar		5041_157347
qawana	vista		5060_129154
llimpi pampapa hukmanyachiynin	conversión de espacio de colores		5069_160054
qukuy	entregar		5070_346942
tikrakunapaq willakuqnin	historial de cambios		5072_138277
willakuy qata	panel		5077_90456
subordinasqa kuqmu	forma Subordinado		5083_148996
CAPI	CAPI		5085_27452
CryptoAPI	CryptoAPI		5085_27453
Interfaz allichakuymanta yachayllawan qillqa ñawinchanapaq	Interfaz de programación de aplicaciones criptográficas		5085_27454
t'aqayninpa tawak'uchun	cuadro de división		5090_115534
suti churanakuna 	conjunto de pestañas		5103_312764
AVI	AVI		5112_136267
AVI hina ruwana	formato AVI		5112_136266
nimusqankupa riraq	clase de contenido		5114_139328
toqupi imayna apachiy	transparencia en ventanas		5117_777772
chuya	Glass		5117_262544
p'unchaw t'inkiy	enlace en tiempo de ejecución		5121_73528
kanichiqpa paqarimuynin	creación de clips		5131_159863
rimay	conversación		5151_228751
L2TP	L2TP		5158_318115
Imayna iskay pata hanan toqopi kanan (L2TP)	protocolo de túnel de capa dos		5158_154233
maypi kasqan	dirección		5174_295556
qillqasqaq marcon	marco de texto		5192_121026
jallich’anata mask’ay	carpeta de búsquedas		5202_335537
qatispa ruwanapaq	fórmula		5219_56116
hina kaqllapi	del mismo nivel		5221_91648
chiqa-maskana	seguro para explorador		5227_138051
chiqa maskana	seguro para explorador		5227_1508831
rapichanapaq churana	archivo de paginación		5233_658346
rapichanapaq churana	archivo de paginación		5233_658349
qunakuy churana	archivo de intercambio		5233_90341
jawa suyukunpa yupaynin	lista internacional		5234_232403
hurquy	extraer		5236_155717
payllaq imayna ruraynin	forma de pago		5239_308334
Wi-Fi hotspot	zona Wi-Fi		5262_1803520
hotspot	zona cubierta		5262_357279
paskay	deshacer		5274_168784
ruruman haykuna	clave de producto		5279_95225
qillqa tapuna	consulta de texto		5289_149195
waqaychay	guardar		5297_107243
tarichiyninkunaq liwritan	Libreta de direcciones		5298_9459
Llapan qatinapaq	plantilla global		5304_232831
MAPI	MAPI		5309_78189
sapa kama quna	unidad de asignación		5311_11102
clúster	clúster		5311_11103
Word Wide Web	World Wide Web		5315_130836
WWW	WWW		5315_130837
W3	W3		5315_130834
web	web		5315_130838
Kuqmup Willakuynin	Barra de información		5348_232402
yanapaq	asistente		5360_133995
Microsoft Disk Operating System	Microsoft Disk Operating System		5371_82029
sistema operativu MS-DOS	sistema operativo MS-DOS		5371_82028
abc qelqakuna	alfabético		5377_321310
chayananmanta mañakuy	solicitud de tarea		5391_232423
LID	LID		5392_232941
Simipa ID	ID de idioma		5392_174900
simi reqsina	identificador de idioma		5392_232939
LANGID	LANGID		5392_232940
hatunchay	macro		5405_77118
malla	malla		5409_527644
hapirinalla yuyaynin	memoria disponible		5423_18354
hapirinalla ruyru kampu	espacio disponible en disco		5423_640865
tablapi allichakuy	tabulación		5434_119301
utqhaylla markasqa	marcado rápido		5437_115318
kuyuq kantu	borde punteado		5444_144872
byte	byte		5452_25722
imamanta rimay	tema		5465_121255
willasqa	notificación		5469_177200
imarayku hina ruwana	formato condicional		5471_139235
sayampa rakisqa	fracción vertical		5477_264641
ñiqinchasqa yupa	número ordinal		5483_88655
tupuq	calculadora		5487_26569
achkha ñiqi wanllayma qhaphchinakuna	etiquetas de categoría de diferentes niveles		5492_144959
BIND	BIND		5506_178167
ruwachiq runa kachkan	usuario local		5514_174436
RCP	RPC		5515_102470
taqrusqa tawa kuchu	cuadro combinado		5518_35264
chhala pukulluq qawanan	control de cuadro combinado		5518_269743
rapi tupachiy	configurar página		5540_294447
willaykuna reqsenapaq	etiqueta de datos		5545_140096
Willarinan llamk'asqa raphi	hoja de cálculo Historial		5552_143288
Hipchampi runakuna	Equipos a mi alrededor		5568_270269
llankaynin imayna ruway	procedimiento Function		5597_142558
rimariy	expresión		5613_52530
llamkay runakuna	personal		5620_212202
videomanta waqay	videollamada		5626_128579
yuyaypa chinkaynin	pérdida de memoria		5630_171592
huk'uchak ñaupaqin p'uqana	botón primario del mouse		5635_94558
mauspa punta ñitina	botón primario del mouse		5635_318121
kilobyte	kilobyte		5644_73402
KB	KB		5644_73400
qillqay	escribir		5645_124325
allichasqa kipupa tarikusqan	ubicación de archivo fija		5652_142152
chaskiy	participar		5665_88196
yaykuna allichanapaq llankanakuna	dispositivo de accesibilidad		5675_136869
ñawpa willakuy yachanapaq pakasqa yachay	clave de leyenda		5677_143969
periférico	periférico		5686_7497
yanapaqninkuna	accesorio		5686_7496
chullachay	personalizar		5688_41879
VBA	VBA		5695_127476
internet hina kaq	protocolo de Internet		5702_69512
IP	IP		5702_69513
kamachipayaq	categoría		5703_234513
Web maskaq	navegador web		5712_131978
maskana	explorador		5712_131979
qatipay huk qatipayniyuqta	copia carbón		5719_27856
makillawan	manual		5725_295557
mana tinkusqa hina	modo sin conexión		5726_269749
cablentakama modem	módem por cable		5728_25995
chinkachiy	eliminar		5738_44359
Video ñisqa hapiq patmita	dispositivo de captura de video		5743_128621
Tupachisqa lliqakuna	Redes configuradas		5759_235060
GUID	GUID		5766_1607
sapallapuni tarimuq	identificador único		5766_1610
riksichina	edición estructurada		5775_148897
saqisqan	heredado		5790_211562
harkay	restricción		5809_351298
Pawachiy ñitina	tecla TAB		5810_119238
kikillanmanta kamaq	formato automático		5814_17688
llankaqpa sutin	nombre de usuario		5819_126909
hatalliq suti	nombre de usuario		5819_2638662
tupuna raphi	hoja de cálculo		5821_134416
ruwarinan	operación		5834_87984
makiwan maskana qata	panel táctil		5849_783226
qipichasqa	paquete		5853_309073
Llankanakuna seqe	Barra Tareas pendientes		5858_184170
ATM	ATM		5864_15940
mana intiwatanawan apachinapaq	modo de transferencia asincrónico		5864_15941
PAE	PAE		5870_92107
pay-kikin tarichiyninpa aysarikuynin	extensión de dirección física		5870_92106
qhipaman khuski	análisis de regresión		5874_101275
sinri qatunapaq llamkanakuna	aplicación de línea de negocio		5890_2331568
LOB llamkanakuna	aplicación de LOB		5890_2331569
willaypa yupaynin ñiqi	lista de mensajes		5894_232404
llamkasqa qillqa willakuq	documento activo		5905_8139
imayan qillqanakuna	estilo de impresión		5930_146835
digitalizasqa	digitalización		5933_517988
kuyuchiq ruwaynin	desencadenador de animación		5936_137354
RSS paqarina	fuente RSS		5949_234761
tumpasqa winay	contenido sindicado		5949_234763
web paqarina	fuente web		5949_234760
XML paqarina	fuente XML		5949_234762
paqarina	feed		5949_234759
ayllu	miembro		5961_231843
Windows nisqamanta pantayninkunaq willariynin	Informe de problemas de Windows		5964_299918
ruwanayuq	no disponible		5967_25496
Maypi kasqan kikimpa qelqakunan	Libreta personal de direcciones		5970_232410
llankay quq	tarea asignada		5973_137523
qutu sapa kuti ruwaynin	constante de matriz		5976_14610
wasi	casa		5983_346955
Yaykunalla Chawpi	Centro de accesibilidad		6033_319444
Willakuy	Acerca de		6036_211259
chakatasqa siqi	par de coordenadas		6040_139580
urakaq umachasqa	subtítulo		6043_117185
allin waqaychana qellqa churanapaq	archivo de copia de seguridad		6048_317873
waqaychasqa	copia de seguridad		6048_19161
tupanachiypa willaqkunapa taqin	base de datos de autenticación		6063_137589
puchuq wichqanakuna	celda dependiente		6064_140594
allchaykunallapaq	mantenimiento		6077_314127
winasqa rikchaypa rapin	hoja de estilos insertada		6090_141461
OSI	OSI		6099_87862
hawampi qelqay	sobrescribir		6103_89445
qutu	grupo		6109_262794
GIF	GIF		6111_58408
haykunapaq kaqtin yuyana	memoria de acceso aleatorio		6120_97668
RAM	RAM		6120_97667
Bluetooth	Bluetooth		6121_179135
Webpa kipun	archivo web		6136_149866
tinkuchiq	adaptador		6151_126
internet tarina	dirección de Internet		6158_69289
quñunakuypaq willaq	convocatoria de reunión		6172_178714
minkay	invitación		6172_1276170
correo electronico apachiy	enviar correo		6175_766467
apachiy	enviar		6175_110059
willay apachiykunata chaqruy	combinar correspondencia		6177_264614
sayaynin tupachiy	escalar		6184_107441
qayay	llamada		6186_418609
huntapaq qawaq	controlador de relleno		6190_142020
chaskip ruwakunaynin	servicio de entrega de correo		6196_144404
Willakuy churana	archivo de registro		6197_76338
Tupachiy	insertar		6200_50329
qhapaq qillqasqa raphi khakasqa	campo de texto enriquecido		6208_147957
chaqruypa kampun	campo de combinación		6224_144653
taqrusqa wichqana	celda combinada		6231_144677
qelqana lliqlla	lienzo de dibujo		6232_141181
rikuy allichpayaq	vista Moderador		6239_264786
qullqi-mañaypa tarhita	tarjeta de crédito		6240_30724
yuyaykuna waqaychana	álbum		6247_318716
kutirimuynin	reversión		6250_105621
OLAP llamk'anapaq yaykuchiq	proveedor OLAP		6273_145441
qayay	llamar		6279_26739
wakin llimpikunapa	colores complementarios		6282_139056
ña ruwasqanña	esquema		6287_89072
rapi	página		6293_363510
Web raphi	página web		6293_3820
web raphi	página web		6293_3821
web rapi	página web		6293_1060959
correo tarina	dirección de correo		6296_316262
llipyapa apachiynin	dirección de envío		6296_178943
tupachinachiy	comparar		6300_36264
imayna qelqasqa	estilo de párrafo		6303_146012
allichasqapa hamutaynin	criterio de ordenación		6304_148697
ñiqi	orden		6304_2801927
hina kasqan	imagen		6308_64546
tupanachiy	vincular		6309_178700
Kuyuchiyta tawak'uchuman yapay	opción de efectos de gráfico		6314_138412
Kapuynin	atributo		6316_155655
Yaykuna harkasqa Wi-Fi	Acceso protegido Wi-Fi		6317_262429
WPA	WPA		6317_262430
tupaqmasi kamachiy	administración de contactos		6319_343640
SMBIOS	SMBIOS		6333_184278
Llikapa qawapayanan	Explorador de red		6350_276560
riqsichina	difusión		6352_152788
llapan imakuna reqsinapaq qarakuq	servidor de catálogo global		6374_58539
tuqsiqta hatunyachiy	indicador de expansión		6381_686085
llaqtapi	local		6383_75950
imayna kasqanpi sayay	nivel de confidencialidad		6387_725767
imayna kasqan	confidencialidad		6387_110103
yupana semana, semanapa yupanan	número de semana		6388_232427
chaski lluqllay	programa de envío masivo de correo electrónico (flooder)		6395_297180
Rimaykuna	reportes		6430_185690
rimaykuna	comentarios		6430_2530843
kikillanmanta wintana pawariq	información sobre herramientas		6434_347647
Pantallapi willakuy	información en pantalla		6434_148223
huklla thaski	paso a paso		6443_148638
siqi willana	gráfico de líneas		6450_74994
Imayna ruwawaq	modo Edición		6451_1624393
makiwan qillqasqa	escritura a mano		6458_60255
makiwan qillqanap rawkanasqan	escritura manual digital		6458_1274286
willarinap ruwaynin	servicio de información		6460_66237
pantay winakuy	inserción de errores		6474_329880
Chaqruykuna huntapay	Completa la combinación		6475_307228
