Jesucristo aillu quillca, Davidmanda mirai, David Abrahanmanda mirai.	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham	b.MAT.1.1
Ama taripaichichu mana taripashca tucungaj.	"No juzguéis, para que no seáis juzgados	b.MAT.7.1
¿Imarasha camba uqui ñahuii tiaj polvohuara ricungui, camba quiquin ñahuii tiaj cullura mana ricusha?	"¿Por qué miras la brizna de paja que está en el ojo de tu hermano, y dejas de ver la viga que está en tu propio ojo	b.MAT.7.3
¿Imarasha uquira ningui: Lugarda cuhuai camba ñahuimanda polvohuara ichungaj, camba quiquin ñahuii atun vigas tiaullaira?	¿Cómo dirás a tu hermano: 'Deja que yo saque la brizna de tu ojo', y he aquí la viga está en el tuyo	b.MAT.7.4
¡Ishqui shimiyuj! Ñaupa camba quiquin ñahuimanda vigasta ichui, chi huasha alimi ricungui ichilla polvohuara llucchingaj camba uqui ñahuimanda.	¡Hipócrita! Saca primero la viga de tu propio ojo, y entonces podrás ver para sacar la brizna del ojo de tu hermano	b.MAT.7.5
Sumaj ajta ama cuichi allcuunama, shinallara canguna perlas nishca chuya rumiunara cuchiunama ama shitaichichu, cuchiuna ama aitangaj, chihuasha cangunara chugrichingaj.	"No deis lo santo a los perros, ni echéis vuestras perlas delante de los cerdos, no sea que las pisoteen y después se vuelvan contra vosotros y os despedacen	b.MAT.7.6
Mañaichi, cui tucunguichimi	"Pedid, y se os dará	b.MAT.7.7
Mascaichi, taringuichimi	Buscad y hallaréis	b.MAT.7.7
Cayaichi, pascai tucunguichimi.	Llamad, y se os abrirá	b.MAT.7.7
Tucui mañaj apin, mascaj tarin, cayajta pascanaun.	Porque todo el que pide recibe, el que busca halla, y al que llama se le abrirá	b.MAT.7.8
¿Maican runa cangunamanda paihua churi: Tandara cuhuai, nijpi, shu rumira paita cungai?	¿Qué hombre hay entre vosotros que, al hijo que le pide pan, le dará una piedra	b.MAT.7.9
¿Churi, aichahuara cuhuai, nijpi, shu machacuira cungai?	¿O al que le pide pescado, le dará una serpiente	b.MAT.7.10
Cangunaga manaliuna ashallara, ali cuyashcaunara churiunama cuyanara yachanguichi, ¿manzhu mas canguna ahua pachai tiaj Yaya aliunara cunga paita mañajgunama?	Pues si vosotros, siendo malos, sabéis dar cosas buenas a vuestros hijos, ¿cuánto más vuestro Padre que está en los cielos dará cosas buenas a los que le piden	b.MAT.7.11
Llullasha rimajgunamanda huacachichi, cangunama borregouna cuenta churarishcauna shamunaun, churarishca ucui micuj pumaunami.	"Guardaos de los falsos profetas, que vienen a vosotros vestidos de ovejas, pero que por dentro son lobos rapaces	b.MAT.7.15
Paiguna rashcaunamanda paigunara ricsinguichimi	Por sus frutos los conoceréis	b.MAT.7.16
¿Uvillas muyura cashamandachu pallanaun? ¿Higo muyuras chini yuramandachu pallanaun?	¿Acaso se recogen uvas de los espinos o higos de los abrojos	b.MAT.7.16
Shinajpi tucui ali yura ali muyura cun, manali yuraga manalira cun.	Así también, todo árbol sano da buenos frutos, pero el árbol podrido da malos frutos	b.MAT.7.17
Ali yura manali muyura cungaj mana ushanzhu, shinallara manali yura ali muyura cungaj mana ushanzhu.	El árbol sano no puede dar malos frutos, ni tampoco puede el árbol podrido dar buenos frutos	b.MAT.7.18
Tucui yura mana ali muyura aparijpi, cuchusbca anga, ninai shitashca anga.	Todo árbol que no lleva buen fruto es cortado y echado en el fuego	b.MAT.7.19
Shinajpi, paiguna aparishca muyumanda ricsinguichimi.	Así que, por sus frutos los conoceréis	b.MAT.7.20
Mana tucui ñucara: Señor, señor, nij runa ahua pacha mandanai icungachu, astaun ñuca munaira rajlla.	"No todo el que me dice 'Señor, Señor' entrará en el reino de los cielos, sino el que hace la voluntad de mi Padre que está en los cielos	b.MAT.7.21
Ashcauna chi punzhai ñucara ninaunga: Señor, señor, ¿manzhu camba shutii yachachicanchi, camba shutii supaigunara ichucanchi, camba shutii ashca munanaita ranaunara rarcanchi?	Muchos me dirán en aquel día: '¡Señor, Señor! ¿No profetizamos en tu nombre? ¿En tu nombre no echamos demonios? ¿Y en tu nombre no hicimos muchas obras poderosas?	b.MAT.7.22
Maicans cai ñuca shimira uyasha, shinallara rasha, casna sabiro runa cuentami tucun: Paihua huasira rumii sicachica.	"Cualquiera, pues, que me oye estas palabras y las hace, será semejante a un hombre prudente que edificó su casa sobre la peña	b.MAT.7.24
Shinzhira tamiaca, yacuuna undamunauca, shinzhira huairaca, huasira huactanauca	Y cayó la lluvia, vinieron torrentes, soplaron vientos y golpearon contra aquella casa	b.MAT.7.25
Randi huasi mana urmacachu, shinzhi rumii sicachishcaraigu.	Pero ella no se derrumbó, porque se había fundado sobre la peña	b.MAT.7.25
Astaumbas maicans cai shimiunara uyasha mana pactachijpi, casna upa runa cuentami tucun: Paihua huasira tiyui sicachica.	"Pero todo el que me oye estas palabras y no las hace, será semejante a un hombre insensato que edificó su casa sobre la arena	b.MAT.7.26
Tamiaca, yacuuna undamunacua, shinzhira huairaca, huasira huactanauca	Cayó la lluvia, vinieron torrentes, y soplaron vientos, y azotaron contra aquella casa	b.MAT.7.27
Huasiga urmaca, illajta tulashca aca.	Y se derrumbó, y fue grande su ruina.	b.MAT.7.27
Jesús cai shimiunara rimai pasajpi, runauna pai yachachishcamanda manzharinauca;	Y aconteció que cuando Jesús terminó estas palabras, las multitudes estaban maravilladas de su enseñanza	b.MAT.7.28
mandaj cuenta yachachishcaraigu, mana yachaira yachachijguna cuenta.	porque les enseñaba como quien tiene autoridad, y no como los escribas	b.MAT.7.29
Jesús urcumanda irgumujpi, ashca runauna paita catimunauca.	Cuando descendió del monte, le siguió mucha gente	b.MAT.8.1
Shu ismushca aicha llagayuj runa shamusha, Jesuspa ñaupajpi tuama urmasha nica: Señor, can munasha ñucara alichingaj ushangui.	Y he aquí vino un leproso y se postró ante él diciendo:  ¡Señor, si quieres, puedes limpiarme	b.MAT.8.2
Jesús maquira chutasha paita llangaca: Munanimi, nisha, alichishcangui	Jesús extendió la mano y le tocó diciendo:  Quiero	b.MAT.8.3
Chi ratollai, llaga chinganea.	¡Sé limpio! Y al instante quedó limpio de la lepra	b.MAT.8.3
Jesús Capernaum llactai icujpi, shu soldaro capitán paihuajma shamuca, paita rugaca:	Cuando Jesús entró en Capernaúm, vino a él un centurión y le rog	b.MAT.8.5
Señor, nica, ñucara sirvij runa caitui ichushca sirin ñuca huasii, suchu tucushca, ashcara tormendarisha.	diciendo:  Señor, mi criado está postrado en casa, paralítico, y sufre terribles dolores	b.MAT.8.6
Jesús paita nica: Rishami, paita alichishami.	Y le dijo:  Yo iré y le sanaré	b.MAT.8.7
Capitanga cutipasha nica: Señor, ñuca mana valijchu ani can ñuca huasii icungaj	Respondió el centurión y dijo:  Señor, yo no soy digno de que entres bajo mi techo	b.MAT.8.8
Rimailla, ñucara sirvij aliyangami.	Solamente di la palabra, y mi criado será sanado	b.MAT.8.8
Cangunara nini, ashcauna shamunaunga indi llucshina partimanda, indi icuna partimandas, Abrahamhuas Isachuas Jacobhuas tiaringaj ahua pachai.	Y os digo que muchos vendrán del oriente y del occidente y se sentarán con Abraham, Isaac y Jacob en el reino de los cielos	b.MAT.8.11
Astaun ahua pacha mandanai tiana runauna canzhai tiaj llandui shitai tucunaunga	pero los hijos del reino serán echados a las tinieblas de afuera	b.MAT.8.12
Chihui atun huacai quiru mucunas.	Allí habrá llanto y crujir de dientes	b.MAT.8.12
Shinajpi Jesús capitanda rimaca: Ri, nisha, can quirishcasna rashca achu	Entonces Jesús dijo al centurión:  Ve, y como creíste te sea hecho	b.MAT.8.13
Paita sirvij chi horasllaira aliyashca aca.	Y su criado fue sanado en aquella hora	b.MAT.8.13
Paihua maquira llangaca, calentura paita saquica	Él le tocó la mano, y la fiebre la dejó	b.MAT.8.15
Huarmi atarisha paigunara sirvica.	Luego ella se levantó y comenzó a servirle	b.MAT.8.15
Tutayaupi paihuajma ashca supai apishcaunara pushamunauca	Al atardecer, trajeron a él muchos endemoniados	b.MAT.8.16
Rimashcallahua supaigunara ichuca, tucui ungushcaunaras alichica,	Con su palabra echó fuera a los espíritus y sanó a todos los enfermos	b.MAT.8.16
Diosmanda rimaj Isaías rimashca pactarichu, casna nisha: Paulara ñucanchi ungüigunaras apica, ñucanchi nanaigunaras apaca.	de modo que se cumpliese lo dicho por medio del profeta Isaías, quien dijo: Él mismo tomó nuestras debilidades y cargó con nuestras enfermedades	b.MAT.8.17
Jesús paita muyujta runauna tandarishcara ricusha, chimbama pasangaj mandaca.	Cuando se vio rodeado de una multitud, Jesús mandó que pasasen a la otra orilla	b.MAT.8.18
Shu yachaira yachachij runa paima shamusha nica: Yachachij, canda catimusha maita rijpis.	Entonces se le acercó un escriba y le dijo:  Maestro, te seguiré a dondequiera que tú vayas	b.MAT.8.19
Jesús paita nica: Chajauna paiguna uctuunara charínaun, pisheuunas paiguna tasindas charinaun; astaun ñuca, Runa Churi nishca, maibis umara samachingaj mana charinichu.	Jesús le dijo:  Las zorras tienen cuevas, y las aves del cielo tienen nidos, pero el Hijo del Hombre no tiene dónde recostar la cabeza	b.MAT.8.20
Shuj pai yachachishca runaunamanda paita nica: Señor, lugarda cuhuai ñaupa punda yayara pambangaj risha.	Otro de sus discípulos le dijo:  Señor, permíteme que primero vaya y entierre a mi padre	b.MAT.8.21
Jesús canoai icujpi, pai yachachishca runauna catimunauca.	Él entró en la barca, y sus discípulos le siguieron	b.MAT.8.23
Yachachishca runauna paihuajma shamusha paita llicchachinauca: Señor, nisha uctalla quishpichihuapai, huañuunchimi.	Y acercándose, le despertaron diciendo:  ¡Señor, sálvanos, que perecemos	b.MAT.8.25
Runauna manzharisha ninauca: ¿Ima sami runa cai? Huairas lamarbas paita uyanaun.	Los hombres se maravillaron y decían:  ¿Qué clase de hombre es éste, que hasta los vientos y el mar le obedecen	b.MAT.8.27
Caparisha ninauca Jesusta: ¿Imara munangui ñucanchihua, Jesús, Diospa Churi? ¿Caima shamushcanguichu ñucanchira tormendachingaj tiempo manara pactamujllaira?	Y he aquí, ellos lanzaron gritos diciendo:  ¿Qué tienes con nosotros, Hijo de Dios? ¿Has venido acá para atormentarnos antes de tiempo	b.MAT.8.29
Carullai shu atun cuchi monton micusha tianauca.	Lejos de ellos estaba paciendo un gran hato de cerdos	b.MAT.8.30
Supaiguna paita ruganauca: Ñucanchira ichushaga, bigarda cuhuapai chi monton cuchiunai icungaj.	y los demonios le rogaron diciendo:  Si nos echas fuera, envíanos a aquel hato de cerdos	b.MAT.8.31
Shinajpi, Jesús canoai icuca, chimbama pasaca, paihua quiquin llactama shamuca.	Habiendo entrado en la barca, Jesús pasó a la otra orilla y llegó a su propia ciudad	b.MAT.9.1
Paihuajma shu suchu runara pushamunauca, caitui huandusha	Entonces le trajeron un paralítico tendido sobre una camilla	b.MAT.9.2
Jesús huanduj runauna quirishcara ricusha, suchuma nica: Cariyai, churi, can ucharashcaunara perdonashcangui.	Y viendo Jesús la fe de ellos, dijo al paralítico:  Ten ánimo, hijo; tus pecados te son perdonados	b.MAT.9.2
Shinajpi huaquin yachaira yachachijguna, shungu ucui ninauca: Irusta riman, Diosta camisha.	He aquí, algunos de los escribas dijeron entre sí:  ¡Éste blasfema	b.MAT.9.3
Jesús paiguna iyashcara yachasha nica: ¿Imarasha manalira iyaunguichiri canguna shungüi?	Y conociendo Jesús sus pensamientos, les dijo:  ¿Por qué pensáis mal en vuestros corazones	b.MAT.9.4
¿Imara mas rimailla anga: Can ucharashcara perdonashcangui, mana ashaga, Atari, puri, nisha rimangaj?	Porque, ¿qué es más fácil decir: "Tus pecados te son perdonados" o decir: "Levántate y anda"	b.MAT.9.5
Canguna yachanauchu ñuca, Runa Churi nishca, ushaira charini cai pachai uchara perdonangaj nisha, Jesús suchura riman: Atari, camba caitura apasha ri camba huasima.	Pero para que sepáis que el Hijo del Hombre tiene autoridad para perdonar pecados en la tierra,  entonces dijo al paralítico : ¡Levántate; toma tu camilla y vete a tu casa	b.MAT.9.6
Shinajpi runa atarica, paihua huasima rica.	Y se levantó y se fue a su casa	b.MAT.9.7
Runauna caita ricusha manzharinauca Diosta alabanauca, casna ushaira runaunama cushcamanda.	Cuando las multitudes vieron esto, temieron y glorificaron a Dios, quien había dado semejante autoridad a los hombres	b.MAT.9.8
Jesús mesai tiarijpi Mateo huasii, ashca cullquira tandachijguna, ashca uchayujgunas shamusha mesai tiarinauca Jesushua, pai yachachishca runaunandi.	Sucedió que, estando Jesús sentado a la mesa en casa, he aquí muchos publicanos y pecadores que habían venido estaban sentados a la mesa con Jesús y sus discípulos	b.MAT.9.10
Fariseoguna caita ricusha, yachachishca runaunama ninauca: ¿Imarasha cangunara Yachachij cullquira tandachijgunahua uchayujgunahuas micun?	Y cuando los fariseos le vieron, decían a sus discípulos:  ¿Por qué come vuestro maestro con los publicanos y pecadores	b.MAT.9.11
Jesús caita uyasha paigunara nica: Aliuna doctorda mana ministinaun, astaun ungushcauna ministinaunmi.	Al oírlo, Jesús les dijo:  Los sanos no tienen necesidad de médico, sino los que están enfermos	b.MAT.9.12
Richi, yachaichi imara nin cai shimi: Sacrificio nishcamanda yali shu ali llaquij shungura munani	Id, pues, y aprended qué significa: Misericordia quiero y no sacrificio	b.MAT.9.13
Ali causajgunara cayangaj mana shamucanichu, astaun uchayujgunara, paiguna arrepentiringaj.	Porque yo no he venido para llamar a justos, sino a pecadores	b.MAT.9.13
Shinajpi Juan yachachishca runauna Jesusbajma shamusha paita ninauca: ¿Imaraigumanda ñucanchis fariseogunas sasisha causaunchi, astaun can yachachishca runauna mana sasinaun?	Entonces los discípulos de Juan fueron a Jesús y dijeron:  ¿Por qué nosotros y los fariseos ayunamos frecuentemente, pero tus discípulos no ayunan	b.MAT.9.14
Jesús casna rimauscallai, shu valij runa shumuca, paihua ñaupajpi tuama urmasha nica: Ñuca ushushi ñancartalla huañun	Mientras él hablaba estas cosas, he aquí vino un hombre principal y se postró delante de él diciéndole:  Mi hija acaba de morir	b.MAT.9.18
Shamupai, camba maquira paihua ahuai churajpi causaringami.	Pero ven y pon tu mano sobre ella, y vivirá	b.MAT.9.18
Jesús atarisha paita catisha rica, pai yachachishca runaunandi.	Jesús se levantó y le siguió con sus discípulos	b.MAT.9.19
Huarmi paihua shungüi nica: Ñuca paihua churana pundahuallara llangasha aüyashami.	porque ella pensaba dentro de sí: "Si solamente toco su vestido, seré sanada.	b.MAT.9.21
Jesusga voltiarisha, huarmira ricusha, nica: Cariyai, ushushi, can quirishca canda alichishcami	Pero Jesús, volviéndose y mirándola, dijo:  Ten ánimo, hija, tu fe te ha salvado	b.MAT.9.22
Chi ratomanda pacha huarmi aliyashca aca.	Y la mujer fue sanada desde aquella hora	b.MAT.9.22
Jesús valij runa huasii icushaga, llautara tucajgunara huacajgunaras ricuca.	Cuando Jesús llegó a la casa del principal y vio a los que tocaban las flautas y a la multitud que hacía bullicio	b.MAT.9.23
Runaunara huasimanda llucchishca huasha, Jesús icuca, huahuara maquimanda apica, huahua atarica.	Cuando habían sacado a la gente, él entró y la tomó de la mano; y la muchacha se levantó	b.MAT.9.25
Cai rashca uyarica tucui chi partü.	Y salió esta noticia por toda aquella tierra	b.MAT.9.26
Jesús huasima pactamujpi, ñausauna paihuajma shamunauca	Cuando él llegó a la casa, los ciegos vinieron a él	b.MAT.9.28
Paigunara nica: ¿Ñuca caita rangaj ushajta quiringuichichu? Ari, Señor, quirinchimi, ninauca.	Y Jesús les dijo:  ¿Creéis que puedo hacer esto? Ellos dijeron:  Sí, Señor	b.MAT.9.28
Paiguna ñahui muyuuna pascarinauca	Y los ojos de ellos fueron abiertos	b.MAT.9.30
Jesús paigunara shinzhira rimasha nica: Ricuichi ama pihuas caita yachanauchu.	Entonces Jesús les encargó rigurosamente diciendo:  Mirad que nadie lo sepa	b.MAT.9.30
Randi, paiguna llucshisha, Jesusmanda cuentanauca tucui chi partii.	Pero ellos salieron y difundieron su fama por toda aquella tierra	b.MAT.9.31
Paiguna rinaupi, runauna shu upa shimi runara apamunauca, supai apíshcami aca.	Mientras aquéllos salían, he aquí le trajeron un hombre mudo endemoniado	b.MAT.9.32
Supaira ichushca huasha, upa shimi runa rimaca	Y tan pronto fue echado fuera el demonio, el mudo habló	b.MAT.9.33
Runauna manzharínauca, nisha: Imahoraspas cai samira mana ricushcanchichu Israelbi.	Y las multitudes se maravillaban diciendo:  ¡Nunca se ha visto semejante cosa en Israel	b.MAT.9.33
Fariseogunaga: Supai apumanda supaigunara ichun, ninauca.	Pero los fariseos decían:  Por el príncipe de los demonios echa fuera los demonios	b.MAT.9.34
Jesús tucui atun tucui ichilla llactaunara purica, tandarina huasiunai yachachisha, Dios mandana pacha ali shimira rimasha, tucui ungüira tucui nanairas alichisha.	Jesús recorría todas las ciudades y las aldeas, enseñando en sus sinagogas, predicando el evangelio del reino y sanando toda enfermedad y toda dolencia	b.MAT.9.35
Pai yachachishca runaunara nica: Cierto pacha pallana ashcami, astaun tarabajgunaga ansallami.	Entonces dijo a sus discípulos: "A la verdad, la mies es mucha, pero los obreros son pocos	b.MAT.9.37
Pallana Señorda rugaichi pallajgunara cachangaj paihua pallanama.	Rogad, pues, al Señor de la mies, que envíe obreros a su mies.	b.MAT.9.38
Shinajpi Jesús pai yachachishca runaunara cayasha, ushaira paigunara cuca irus supaigunara ichungaj, tucui ungüira tucui nanairas alichingaj.	Entonces llamó a sus doce discípulos y les dio autoridad sobre los espíritus inmundos para echarlos fuera, y para sanar toda enfermedad y toda dolencia	b.MAT.10.1
