PERÚ SUYU HATUN KAMAY PIRWA	CONSTITUCIÓN POLÍTICA DEL PERÚ
Suyun reqsin hinaspa rantinkan lliupa as asllamanta ayllu waqaychakuyman chayanantaqa, chaymi ima thuniy kaqtinpas allchanan runaq allin kausananpaq	El Estado reconoce el derecho universal y progresivo de toda persona a la seguridad social, para su protección frente a las contingencias que precise la ley y para la elevación de su calidad de vida
Qespiy kayninpi hanpi kamayoq wasipi rikusqa hinaspa qolqe chasyniyman	Libre acceso a las prestaciones de salud y pensiones
11 Phatmi	Artículo 11
Suyu rantinkan llapa runaq allaukanta qhali kananpaq hampi kamayoq wasita ajllanapaq sapanchasqa hanpi wasikunata utaq llaqtaq hanpi wasinkunatapas	El Estado garantiza el libre acceso a prestaciones de salud y a pensiones, a través de entidades públicas, privadas o mixtas
Hinaspa qhawanmi hampi kamayoq allin ruwayninta	Supervisa asimismo su eficaz funcionamiento
Llaqta qelqa kamachiymi qhawan mayqen qolqe hanpiq hatun wasita sichus runa llank’ananmanta tatiqtin qolqe chaskinanpaq	La ley establece la entidad del Gobierno Nacional que administra los regímenes de pensiones a cargo del Estado
Qolqe churay runa allin waqaychaypi kausananpaq	Fondos de la seguridad social
12 Phatmi	Artículo 12
Qolqe waqaychasqakunata hinaspa allin qhawasqa suyu runa qhali allin qhawasqa kaynintan mana pipas imapaqpas hap’inmanchu hunt’ana kamachiyman hina	Los fondos y las reservas de la seguridad social son intangibles. Los recursos se aplican en la forma y bajo la responsabilidad que señala la ley
Yachachiymanta hinaspa qespiypi yachachiy	Educación y libertad de enseñanza
13 Phatmi	Artículo 13
Yachay, hinaspa yachay tarpuy allpaypas runaq pasaq wiñayninpaqmi	La educación tiene como finalidad el desarrollo integral de la persona humana
Suyun reqsin, sayankun munaypi yachachiykunata	El Estado reconoce y garantiza la libertad de enseñanza
Mama taytakunan churinku yachayninta hunt’aypi qhawananku hinaspataq ajllaytan atinku may yachay wasipi yachanantapas chaypiqa yanapananmi	Los padres de familia tienen el deber de educar a sus hijos y el derecho de escoger los centros de educación y de participar en el proceso educativo
Kausaypaq hinaspa llank’aypaq yachachiy	Educación para la vida y el trabajo
Willaykuna mast’ariqkunamanta	Los medios de comunicación social
14 Phatmi	Artículo 14
Yachachikuyqa oqllan reqsiyta, yachayta, sumaq ruwaykuna yachayta, pujllaykunapipas, kausaypaq allin llank’aqkuna hinaspa aynikuypi llank’aqkuna kanankupaq	La educación promueve el conocimiento, el aprendizaje y la práctica de las humanidades, la ciencia, la técnica, las artes, la educación física y el deporte. Prepara para la vida y el trabajo y fomenta la solidaridad
Suyuq kamachikuyninmi yuyaywan runa wiñachiy hinaspa suyupaq	Es deber del Estado promover el desarrollo científico y tecnológico del país
Ch’uya yuyaywanmi suyu yuyayta chaymantapas Hatun Kamay Pirwatan yachaykuna kanan hinallataq llanta utaq auqay runakuq allaukankunatan sapanka yachay wasikunapi yachachinanku	La formación ética y cívica y la enseñanza de la Constitución y de los derechos humanos son obligatorias en todo el proceso educativo civil o militar
Tayta kamaqmanta yachachiytapas atikullanmi ichaqa yachaqkuna munasqanman hinallapuni	La educación religiosa se imparte con respeto a la libertad de las conciencias
Chay yachachiyqa ruwakun mimaymana kaykunapi, ichaqa Hatun Kamay Pirwa kamachisqanman hinaspa yachay wasikuna yuyasqanman hina	La enseñanza se imparte, en todos sus niveles, con sujeción a los principios constitucionales y a los fines de la correspondiente institución educativ
Rimana wasikunas hinaspa suyuwan kusqan yanapananku llaqta runaq yachayninpi sumaq kausay hinaspa tukuy yachayman hina	Los medios de comunicación social deben colaborar con el Estado en la educación y en la formación moral y cultural
Suyu kamachiypi llank’aymanta	Profesorado, carrera pública
15 Phatmi	Artículo 15
Hamaut’akunaq llaqta kamachiypi llaqtaq llank’aqnin	El profesorado en la enseñanza oficial es carrera pública
Kamachiymi churan mayqen llak’aq umalliq hamaut’ata utaq kikin yachachiq hamaut’ata yachay wasipi, ruwaynintapas hinaspa allaukantapas	La ley establece los requisitos para desempeñarse como director o profesor de un centro educativo, así como sus derechos y obligaciones
Suyu hinaspa llaqta runakunan ajllaypi, aswan yachaypi, kamayoq kayninkupi hinaspa aswan llank’asqanku rayku wichayninkuta rikunku	El Estado y la sociedad procuran su evaluación, capacitación, profesionalización y promoción permanentes
Yachaqpa allaukanmi kikin kayninmanta yachay, hinaspa allaukallantaqmi sumaq qhawasqa hinaspa rimasqa kananpaq	El educando tiene derecho a una formación que respete su identidad, así como al buen trato psicológico y físico
Llapa sapanchasqa utaq huñunasqa runaq allaukanmi kamay utaq apaq yachay wasikunata, chaymantapas hoqman kayninta qoytapas ichaqa kamachiman hina	Toda persona, natural o jurídica, tiene el derecho de promover y conducir instituciones educativas y el de transferir la propiedad de éstas, conforme a ley
Yachay wasikuna Suyuntinpi kananmanta	Descentralización del sistema educativo
16 Phatmi	Artículo 16
Yachachiy hinaspa kikin yachachiyqa llapan suyuntinpin	Tanto el sistema como el régimen educativo son descentralizados
Suyuy yachachiqkunawan rimanaykuspan yachachitaqa apachin	El Estado coordina la política educativa
Imaymana ruwaynintataqmi kamachin chay yachaychiykuna mast’arikunapaq hinaspa sichus mayqenpas munaman kamariyta hoq mosoq yachaykunata cheyqa ima hunt’anankunatapas kamachillantaqmi	Formula los lineamientos generales de los planes de estudios así como los requisitos mínimos de la organización de los centros educativos
Rikuntaqmi allin yachachiykuna qokuyninta	Supervisa su cumplimiento y la calidad de la educación
Suyuq ruwayninmi qhaway, mana pipas yachay wasiman riyninmanta hark’asqa kayninta sichus mana qolqeyoq utaq mana allin yuyayniyoq kayninpi	Es deber del Estado asegurar que nadie se vea impedido de recibir educación adecuada por razón de su situación económica o de limitaciones mentales o físicas
Aswantan qhawan yachay ñaupaqman purinanpaq suyu kamachiypi qolqe qoyta	Se da prioridad a la educación en la asignación de recursos ordinarios del Presupuesto de la República
17 Phatmi	Artículo 17
Suyuq llaqta kamachiy yachay wasikunapi mana qolqemanta	En las instituciones del Estado, la educación es gratuita
Llaqta Kamachisqan Hatun Yachay Wasikunapipas mana qolqewanmi yachachiyqa. Hinaspa suyun ratinkan aswan yuyaysapa yachaqkuna mana qolqemanta yachay wasikunapi yachanankupaq	En las universidades públicas el Estado garantiza el derecho a educarse gratuitamente a los alumnos que mantengan un rendimiento satisfactorio y no cuenten con los recursos económicos necesarios para cubrir los costos de educación
Llapa runakunaq mana qolqewan yachay wasikunapi yachanankupaq utaq sapanchasqa yachay wasipi mana ñishu qolqewan yachanapaq, chaypin kashillantaq mink’akuq yachay wasikunapi yachaqkunatapas	Con el fin de garantizar la mayor pluralidad de la oferta educativa, y en favor de quienes no puedan sufragar su educación, la ley fija el modo de subvencionar la educación privada en cualquiera de sus modalidades, incluyendo la comunal y la cooperativa
Suyun yanapan maykunapipas yachay wasikuna kamakunanpaq	El Estado promueve la creación de centros de educación donde la población los requiera
Suyun rantinkan manaña suyunchis ukhupi mana qelqay yachaq qolluchiyta	El Estado garantiza la erradicación del analfabetismo
Hinaspataq kallpachan llapa rimaykunapi yachaqkunata yachachikunanpaq, kikin imayna sapanka llaqta rimayninman	Asimismo fomenta la educación bilingüe e intercultural, según las características de cada zona
Yupanchaspa imayna kikin kausayninkuta hinaspa llaqta rimayninta	Preserva las diversas manifestaciones culturales y lingüísticas del país
Yanapaspa suyuq huñuypi kausananta	Promueve la integración nacional
Hatun yachay Wasi Yachay	Educación universitaria
18 Phatmi	Artículo 18
Hatun yachay wasikunata kaykunapaq kamasqan aswan yuyayniyoq llank’aqkuna kanakupaq, hinaspa kausaykunata, yuyaywan ruwakunanpaq hinaspa t’aqwinkunatapas yanapananmi	La educación universitaria tiene como fines la formación profesional, la difusión cultural, la creación intelectual y artística y la investigación científica y tecnológica
Suyuq hamaut’aq yachachisqantaqa rantinkan	El Estado garantiza la libertad de cátedra y rechaza la intolerancia
Hatun yachay wasikunaqa atikunmi sapanchasqa runakuna utaq llaqta kamachisqapi kamakuyta	Las universidades son promovidas por entidades privadas o públicas
Kamachiymi qon imayna hunt’aypi kamasqa kanankupaq	La ley fija las condiciones para autorizar su funcionamiento
Hatun yachay wasikunaqa atikunmi sapanchasqa runakuna utaq llaqta kamachisqapi kamakuyta	Las universidades son promovidas por entidades privadas o públicas
Kamachiymi qon imayna hunt’aypi kamasqa kanankupaq	La ley fija las condiciones para autorizar su funcionamiento
Sapanka Hatun Yachaykunaqa kikin sapanchasqan yachachiyninkupi, imayna llank’ayninkupi, qolqe apayninkupi kanku	Cada universidad es autónoma en su régimen normativo, de gobierno, académico, administrativo y económico
Hatun Yachay Wasikunan kikin kamachiyninkupi kausanku hichaqa Hatun Kamay Pirwaman hinaspa hokaq kamachiykunaman hinallapuni	Las universidades se rigen por sus propios estatutos en el marco de la Constitución y de las leyes
Yachay wasikunaq mana qolqe churanankumanta	Régimen tributario de Centros de Educación
19 Phatmi	Artículo 19
Hatun Yachay Wasikuna hinaspa llapan yachay wasikunanataqa mana pipas qechunmanchu kayninkunata, ruwayninkunata, hinaspa ima yachay haywasqanakutapas runaq wachiyninpa kaqtin	Las universidades, institutos superiores y demás centros educativos constituidos conforme a la legislación en la materia gozan de inafectación de todo impuesto directo e indirecto que afecte los bienes, actividades y servicios propios de su finalidad educativa y cultural
Ichaqa suyupaq qolqe qoyninpitaqmi hoq neray kamachiypin atinku qolqe churayta	En materia de aranceles de importación, puede establecerse un régimen especial de afectación para determinados bienes
Sumaq sonqoyoq qoyninkunan mana qolqewan yachachiqankutaqa, manan suyu qolqeta mañanchu ichaqa kamachiman hinallapuni	Las donaciones y becas con fines educativos gozarán de exoneración y beneficios tributarios en la forma y dentro de los límites que fije la ley
Kakachiymi churan yachaywasikuna imayna llank’anku qhawaqkunata hinaspa imayna hunt’ayninkuta chayman hina yachay wasi kasqanman hina llank’anankupaq	La ley establece los mecanismos de fiscalización a que se sujetan las mencionadas instituciones, así como los requisitos y condiciones que deben cumplir los centros culturales que por excepción puedan gozar de los mismos beneficios
Hoq sapanchasqa yachay wasikuna skha qolqeta hap’inman runaq yachachisqanmanta cheyqa, suyupaq qolqe churanankuqa atikunmi	Para las instituciones educativas privadas que generen ingresos que por ley sean calificados como utilidades, puede establecerse la aplicación del impuesto a la renta
Llapan aswan Llank’ay yachaq kamayoqkunaq Llank’aq Wasinkumanta	Colegios Profesionales
20 Phatmi	Artículo 20
Llank’aqkunaq wasin kanku, paykuna kikinkumanta kamachinkuq wasi derecho público nisqa ruwayniyoq, Qelqa Kamachiymi kamachikun ima kamakunantapas, hinaspataq churan kamachiyninta llank’aykuna imayna llank’anankupaq hinaspa chay wasipi sutin qelqasqa kaynintapas	Los colegios profesionales son instituciones autónomas con personalidad de derecho público. La ley señala los casos en que la colegiación es obligatoria
Tukuy suyintinpa Kikin Kausayninchis kaqninchiskunamanata	Patrimonio Cultural de la Nación
21 Phatmi	Artículo 21
Anta orqokuna, llut’aykuna, wankikuna, panpakuna, qelqa waqaychasqakuna, imaymana ruwasqa kaykuna, hinaspa wakinkunapas suyuq kayninmi kanku, mana imapas qhawaypi kaqtin mana kaqtin sapanchasqa runaq utaq llaqtaq. Hinaspa suyupa amachaqesqanmi	Los yacimientos y restos arqueológicos, construcciones, monumentos, lugares, documentos bibliográficos y de archivo, objetos artísticos y testimonios de valor histórico, expresamente declarados bienes culturales, y provisionalmente los que se presumen como tales, son patrimonio cultural de la Nación, independientemente de su condición de propiedad privada o pública. Están protegidos por el Estado
Kamachiymi rantinkan chay kaykunata	La ley garantiza la propiedad de dicho patrimonio
Yanapantaqmi kamachiman hina, llapa ruwayninta hinaspa waqaychayninta, allchayninta, rikuchiyninta hinaspa mast’ariyninta, sichus hawa llaqtaman apankuman karan cheyqa suyuman kutimunantapas	Fomenta conforme a ley, la participación privada en la conservación, restauración, exhibición y difusión del mismo, así como su restitución al país cuando hubiere sido ilegalmente trasladado fuera del territorio nacional
Aswan allin rikuy hinaspa llank’ay yanapaymanta	Protección y fomento del empleo
22º Phatmi	Artículo 22
Llank’ayqa runaq ruwaymi hinaspa allaukallataq	El trabajo es un deber y un derecho
Chaymi llapan runaq, chhaynapin kikinpa kaynin	Es base del bienestar social y un medio de realización de la persona
Suyu hinaspa Llak’ay	El Estado y el Trabajo
23 Phatmi	Artículo 23
Llank’ayqa Imaynana kayninpin suyuq amachakunan, mana chaninta pisichispa hinaspapas kuskachay ukhupi, chayraykun mamakunata, erqekunata hinaspa q’aqokunata, mana llak’aq atiqkunata yanapan	El trabajo, en sus diversas modalidades, es objeto de atención prioritaria del Estado, el cual protege especialmente a la madre, al menor de edad y al impedido que trabajan
Suyun rantinkan runakuna llak’ayninpi allin ñaupaqman puriyninta hinaspa qolqen kaynintapas, ichaqa llank’ananpaq yanapaspa hinaspa yachachispa	El Estado promueve condiciones para el progreso social y económico, en especial mediante políticas de fomento del empleo productivo y de educación para el trabajo
Manan pipaq llank’aqpas Hatun Kamay Pirwaman kayninta hark’akunmanchu, atillantaqchu llank’aqpa sumayninta saruchayta	Ninguna relación laboral puede limitar el ejercicio de los derechos constitucionales, ni desconocer o rebajar la dignidad del trabajador
Manan pipas mana qolqemanta hinaspa mana munanaqtin llank’anaman churasqa kanamanchu	Nadie está obligado a prestar trabajo sin retribución o sin su libre consentimiento
Llank’aqpa Allaukakuna	Derechos del trabajador
24 Phatmi	Artículo 24
Llank’aqkunaqpaqa allaukanmi llank’asqanmanta chayninta ichaqa ruwasqanman hina qolqe chaskiyta, kikinpaq hinaspa suti ayllun kausaynin kusa kananpaq	El trabajador tiene derecho a una remuneración equitativa y suficiente, que procure, para él y su familia, el bienestar material y espiritual
Runaman llank’asqanmanta qolqe payllayqa llank’achiqpa aswan ima payllayninmantapas ñaupaqmanmi churakun	El pago de la remuneración y de los beneficios sociales del trabajador tiene prioridad sobre cualquiera otra obligación del empleador
Suyuq qhawan hayk’a qolqetan pasaq chaskinanku llank’asqankumanta, ichaqa manan chay nisqanmanta aswan pisitaqa chaskinmanchu	Las remuneraciones mínimas se regulan por el Estado con participación de las organizaciones representativas de los trabajadores y de los empleadores
